concerns,concerns category,anything else,anything else category
"Not getting the full in person experience, and a little less understanding of topics due to this.",AC,none at the moment,NC
"The only concern I have for taking this class is being able to focus and spending enough time on the material. Usually in a normal high school class, students are forced to listen for at least an hour every day. However, taking this class remotely allows me to potentially finish assignments at a faster pace and so I spend less time which might cause me to remember less.",AC,"I think the course is laid out very well. I like how all the due dates are already posted, so there is no confusion on what is due each week. On top of that, there are weekly emails that tell students what is due that week. The pacing of the class feels good so far and the modules are very organized which help with the pacing.",NC
Falling behind when it comes to lessons.,AC,N/A,NC
"N/A

",NC,N/A,NC
None.,NC,"I am enjoying the course and I appreciate the way it is taught and structured. The videos are very helpful, the textbook's explanations are well written, and the studio sessions are engaging. I can only attend the first 25 minutes of the instructor's office hours because I have another dual enrollment class that starts at 7:30pm, but I find them useful and plan to attend weekly.",PC
"I don't know many people taking this class, so it is a little scarier without the environment of peers I can easily communicate with. Also just adjusting to the remote format is still a bit weird.",AC,"Nothing right now, just getting used to my first college course.",NC
none,NC,"I like how the videos are split into short segments, so they don't seem overbearing.",NC
N/A,NC,N/A,NC
It would be a bit harder to communicate with teachers than it is in person.,AC,"I have never studied or heard of Linear Algebra before, so it is very interesting for me to explore these topics.",NC
I am concerned about learning about the fine details of the course from strictly virtual classes and in a non-classroom environment.,AC,"I like the course and interested in linear algebra, but sometimes struggle with understanding the terms used in videos, and would love to know if there are any external resources for further understanding.",AC
"One concern of mine is that I will fall behind on my desired pace and end up doing assignments only a few hours before they are due. I'm also concerned about the fact that my school doesn't let us use personal laptops on campus, so I have to use the cheap school-supplied Chromebooks, which are harder to use and make everyone less productive.",PC,I don't think so. I like the course so far but I don't like the fact that it's very theoretical and less "calculations".,AC
"Not many, there a many study resources online that can be used to help me.",NC,No,NC
"No concerns, as there are plenty of options to gather necessary information.",NC,"Not particularly, I will, however, let you know if something comes up.",NC
"One concern that I have about the class being remote is the ability to communicate with other students and with the professor, but I am able to do that through Piazza. But other than that, there are not many major concerns.",AC,"I do not have any needs because the course is going smoothly so far, but I do find myself learning much faster reading the textbook and then watching the lecture videos for more review. My impressions of the course so far is pretty good because the homework is a good challenge for me and even if I get a question wrong, I can still learn from my mistakes and redo a similar question.",NC
"At first, I I was afraid of falling behind on coursework that I don't understand, but I've noticed the strong support system GT provides with the professor, TAs, and other students who sufficiently understand the material.",AC,"I like the pace of the course, and there are plenty of resources to follow along.",NC
"I'm concerned I won't learn the material fully/properly before the Module Tests/Final Exam, but so far it's all going well.",AC,My initial impressions is that it looks difficult but manageable.,NC
I do not have any concerns about taking this class remotely.,NC,I think that the course has been amazing so far.,NC
I feel it will be more difficult to learn the course at home with a lack of group sessions with other students at my high school.,AC,Not much!,NC
I sometimes feel like there is less engagement with learning.,AC,N/A,NC
"Since I am taking this class online, I am concerned about the depth of knowledge I will gain about this class. Watching the videos, I feel like I understand the content in the given lesson; however, when attempting to make connections with other lessons, I get confused about what the lecture is talking about.",AC,"Something I struggle to understand are talking in terms of variables. Although the content is suppose to be viewed in terms of variables, I understand the content better when given examples and geometric representation so I can connect how these variables manipulate what we see on graphs, and how to construct counter examples for true and false problems, something I always struggled on.",AC
N/A,NC,N/A,NC
"This is my first experience taking a class remotely using this platform, and I am concerned I may miss an assignment.",AC,I am currently enjoying the course.,NC
"Since I won't be getting reminders when things are due, I hope I don't miss any assignments.",AC,so far so good,NC
I feel like it will be easier to fall behind since we are not meeting in person every day.,AC,"None, I really like the course so far",NC
None,NC,None,NC
My biggest concern is getting answers to questions that I may have in the homework or in the lectures.,AC,The course seems very interesting so far and I would like to know some of the real world applications of some of the concepts we are learning.,AC
I am worried about falling behind and procrastinating.,PC,I am a procrastinator.,PC
None.,NC,None.,NC
"I don't really have concerns thus far. I have already taken remote and asynchronous college courses as part of other dual enrollment programs offered at my school and have used the Canvas platform, so working through this course has been relatively straightforward.",NC,"I don't have any peculiar needs. As for impressions of the course, I really like the course organization (syllabus content, due dates, different kinds of assignment and other course components); it feels very refined and easy to work through as a student, despite this being a virtual course.",NC
None,NC,Everything is good so far,NC
N/A,NC,N/A,NC
N/A,NC,N/A,NC
"The pacing of assignments and watching lectures kind of concerns me, as this has been an issue for me with other remote learning classes.",AC,I really enjoy the video lectures!,NC
n/a,NC,n/a,NC
I do not have any,NC,I am really impressed by the vast resources we have to succeed!,NC
"I always learn better when someone is teaching me the material in person in front of me, so I am worried about learning everything online. However, I have taken other online courses before, so I should be able to adapt.",AC,Not everything in particular. I have been able to find everything and keep up fairly well.,NC
"weekly due dates

",AC,no,NC
"Nothing is concerning about the class itself, I just have personal issues with time management skills.",PC,Nope.,NC
It is a very new experience of learning a college-level math class online. Everything works well so far.,NC,"Nope, everything is good so far.",NC
Im just afraid I will struggle to pay attention,PC,nothing really but I do struggle with depression which can make due dates a bit tough from time to time but hopefully I will be good regardless.,PC
"I don't have many concerns about taking the class remotely. Because of the pandemic, I have experience with online learning already, so I hope it will not be too much of an adjustment. I worry about my ability to keep track of due dates, but canvas should make it relatively easy to do so.",AC,"So far, this course hasn't been too stressful. All of the due dates are reasonable, and there is not an overwhelming amount of content. The videos provided have been very helpful, and I haven't found that anything was left out. The homework is difficult, but it's not overwhelming, as I am given plenty of resources to help out with it.",NC
I am most concerned about mastering each topic because the course requires me to be self-motivated and attentive.,AC,The course seems doable if I put the necessary hours into the course.,NC
None.,NC,Nothing- I seem to be getting the hang of Linear Algebra so far!,NC
I try to make sure I am actually learning the material and understanding it without memorizing equations.,AC,This course is very interesting. I enjoy how after two to three videos I finally understand everything and I have that ?ah-hah? moment when everything clicks. This is the first course that I feel that way. I enjoy the way you lecture. Great job!,NC
"My only concern about taking this class remotely is not fully understand material, but it is good so far.",AC,no,NC
Having enough practice with the content.,AC,N/A,NC
I have concerns about staying on track so that I have enough time to study for proctored exams.,AC,none,NC
"Sometimes I'm concerned about falling behind or not understanding concepts fast enough. I also a little concerned that when the big tests and exams comes along, I won't have retained all the lessons leading up to it.",AC,The course does not seem too bad right now. I do need to manage my time better and start doing assignments earlier to reduce last minute stress. I also need to figure out how to take notes more efficiently. I was a little overwhelmed by the material at first but I think I'm getting the hang of it now. It's still challenging at times but I feel like it is possible.,AC
N/A,NC,N/A,NC
I learn better in person and it takes more time for me to understand concepts if they are online.,AC,,NC
Managing the schedule and keeping up with the deadlines.,AC,"I think to do well on the assignments, we have to dive very deep into the details of the textbook, and look at each of the words in the textbook.",NC
N/A,NC,N/A,NC
I have concerns about being able to pace myself properly and keep myself on track. I also have concerns with truly understanding the content with just online resources and videos provided.,AC,No,NC
"I struggle to stay engaged in recorded lectures so I tend to have to rewatch sections that flew over my head. Also, I performed poorly when we had to learn online 2 years ago so I am scared that if I perform poorly, it will affect my application to Georgia Tech.",AC,"Not going to lie, I am not a big fan of matrices, but I am really looking forward to multivariable calculus.",NC
"None. I've had online high school and middle school courses before, and the communication with teachers was horrible. Took ages to get a response. I don't see that being an issue with this course and the resources available, however.

Only other concern might be the difficulty of the course. The nature of the course, being a hard course in itself, seems difficult to learn digitally. But we'll try!!!",AC,"Nope. Course seems very well built and updated regularly (which once again is contrasting from many other online courses I've done which felt distant, aged, and poorly structured). I'm very happy with this.",NC
,NC,So far I have been getting along alright with the course.,NC
I just have to allot time properly to pace out the weekly modules and assignments.,AC,I started the course and was surprised a little bit with the content. It is taking me some time to get adjusted as some of the content material is appearing to be difficult.,AC
N/A,NC,I am happy with the pace of the course and how helpful the discussion forums are.,NC
None at the moment,NC,"Not at the moment, I just need to devote more time and effort to the class as of right now.",NC
none,NC,Not at the moment,NC
Instruction may be hard to understand when done through video recordings.,AC,Nothing else.,NC
no concerns,NC,I like how we have assigned homework and quizzes to correspond with the lectures.,NC
"In a class setting, I am able to directly ask questions but I have to wait for a response and set more time aside to schedule meetings for help/questions.",AC,Matrices are definitely interesting and require more conceptual thinking. I need to watch more supplemental videos to get a better understanding of them.,AC
I do not have any concerns.,NC,"Nothing in particular, but if anything comes up, I will reach out to you.",NC
The concern that I have for this class is that I won't be able to get the help that I need.,AC,Impressions of the course is that it will take a lot of effort to be able to imagine to answer questions. I have no individual needs.,AC
"Keeping on-schedule and making sure to watch the lectures and do the worksheets. Because it is virtual, I do have some concerns regarding my procrastination, but I need to work hard to make sure I stay on task and on schedule.",AC,Nope!,NC
"The concerns I have is just making sure I keep up with the assignments. As it's remote, I have to hold myself accountable to learn and do all my assignments all time. That's a bit hard for me because I'm a procrastinator but I'm going to try to do everything a few days before it's due so I don't have an issue with that.",AC,The course itself seems pretty straightforward. The assignments are easy to access.,NC
"Only one concern that I have is just the fact that the course is digital which makes it overall harder for me to learn. I had always liked the in-person, hands-on instruction with easy access to the teacher for any questions. However, compared to the digital school year when COVID-19 struck, GT distance math policies and instruction methods are a huge upgrade. It really just comes down to how I learn as a student but if I have a question with any of my assignments I know I can easily access a way to get my question answered.",PC,"Digital learning isn't the best way I learn however I am willing to take the challenge since the course material is interesting. Since digital isn'y my strong suit, I may ask questions for clarification on confusing concepts.",PC
None,NC,None,NC
"I am concerned about trying to learn math through a textbook and falling behind on lectures. So far, reading the textbook to build the foundational knowledge and then watching the lectures have been pretty effective; however, sometimes I find I have the read over a section multiple times before I understand. I am also worried that last minute circumstances may arise and I will not be able to submit an assignment on time. While I know I can avoid this by completing assignments well before their due date, I am still slightly paranoid of that happening.",AC,"My initial impression of this course is that it will be very rigorous and will require a lot of dedication from me, as a student. However, I am willing to commit because it is an investment into my future not only in my intend area of study but also in my daily life. While I may not be applying these concepts daily, I believe that the thinking process that I must go through each time I solve a math problem will help me with critical thinking, something I must apply daily. This may be unrelated, but I would like you to know, I'm trying my best. :)",NC
I don't have any concerns.,NC,"No, there isn't anything else.",NC
"I do not have many concerns about taking this class remotely. The sense of community is strong, and I have had a good experience so far.",NC,"So far, I have only had a positive experience with the course and have no concerns or additional needs.",NC
Just being able to keep up with assignments and learn in an online setting.,AC,Not that I can think of.,NC
Sometimes I may forget to finish assignments before 11pm since my high school classes usually have assignments due at 11:59pm or 12am the next day.,AC,"The 11pm deadline is sometimes difficult to meet due to other activities.

Linear algebra feels different from any other math I have done before.",AC
Less interaction with professor,AC,I really enjoy the course and everyone has been so helpful!,NC
I am worried about being able to succeed in understanding the material without being in an actual classroom.,AC,No,NC
"The only concerns that I have is that in an online the teacher is not as easily available as he or she would be when the class is in person. This does not amount to much, however, because the course itself has great resources such as piazza, textbooks, and studio sessions to account for this.",AC,I was hoping that the lectures could go a bit more in depth about concepts. The difficulty in this course is not much in the computations but understanding the underlying concepts and theoretical implications.,AC
none,NC,none,NC
Connecting with classmates and teachers will be a bit harder.,AC,N/A,NC
The difficulty of keeping up with understanding the material and practicing compared to an in-person class.,AC,The material has been difficult to comprehend and keep up with.,AC
None,NC,No,NC
I have no concerns.,NC,I'm just excited to be taking a college mathematics course!,NC
I do not have any concerns about taking this class remotely as I have taken many other courses online over the summer and am accustomed to the platform we use.,NC,"The course contains a lot of vocab and in order to understand the later material I have an impression that like any other math class, understanding the first few lessons is the foundation for doing well.",AC
I don't have any concerns at the moment.,NC,"Personally, for me, I learn the best when there are creative projects added to understand the concepts of the class.",AC
N/A,NC,N/A,NC
No concerns,NC,Textbook and video resources combined allow for reasonable distance learning,NC
I am concerned with understanding the content. Last year taking Calculus I was able to be in a classroom setting which allowed me to have the teacher go through problems and help me understand.,AC,"The course is very well-made for an online course. I would hope the resources we are required to use were simpler to use, as using MML, Pearson, and the Textbook can all be difficult to access.",AC
"I am very excited because I love math. However, I am concerned because the first in-person practice exam is scheduled for the middle of fall break. I will be out of town during that day so I'm not sure what I should do.",PC,I am very excited for this course.,NC
"I am worried about the asynchronous style because it did not go well for me in my sophomore year when I took virtual asynchronous classes during the pandemic, but I am glad there are structured TA sessions and office hours. Also, my school no longer offers it as a class, where several students come together to watch lectures at the same time.",AC,"So far, the course seems all right. One of my concerns is that since I did pre-calculus virtually during the pandemic, I didn't really learn some things well and may have a difficult time when those concepts show up again.",AC
"Making sure that I fully grasp the concepts for each topic, and am not just completing assignments on their due date.",AC,None,NC
"Not many, just that at my house I don't have great internet connection and can't access canvas, but it shouldn't be a problem as long as I complete my work at school.",TC,"I don't think so, I'm just excited to start the class!",NC
Not really. If anything I was initially worried about communication with professors but so far I've faced no issues with that.,NC,I love the course format so far. I am wondering however if the textbook is compulsory with lectures or if they are interchangeable.,AC
I don't have any,NC,No. I really like how the course has been going so far.,NC
I have no concerns.,NC,So far I enjoy how the resources to this course are easily accessible and allows me to review previous content.,NC
staying on track and on schedule,NC,nope,NC
"I am the first one from my school to do this dual enrollment program, so I'm worried that exam processes might not go so smoothly. Also, I'm not sure if I set up my Duo account wrong, but every time I put in a pass code to log in, it doesn't work. I always have to call to sign in which can be a problem at school because I'm not allowed to have my phone out in the first place, and the service at school doesn't allow calls to go through very easily. I was wondering if there's a way I can just permanently add a Chromebook or a desktop to the Duo sign-in so I don't have to keep pulling out my phone to access this course.",TC,"I'm watching lecture videos, but I'm not sure that I am retaining the information I learn. I know that retention is a lot easier when you practice problems a lot, but even then I'm worried that I'm not learning the most efficiently.",AC
"This is my first semester-long online class, and I do have some concerns about forgetting about deadlines because of its online nature.",AC,"So far, the course has taught a totally different kind of math compared to what I'm used to, so that is exciting.",NC
Falling behind on the coursework or not understanding something and not being able to get it explained.,AC,So far everything seems to be going well.,NC
Being able to be present during the office hours.,AC,NA,NC
My only concern is I have to get surgery to heal my broken collarbone today. This may affect my ability to complete work in the following days.,PC,No,NC
Having connection errors during tests.,TC,,NC
I do not have any concerns about taking this class remotely.,NC,There is nothing else I would like you to know before we start the course.,NC
"Communication is difficult, since all the logins for emails, canvas, and others are separate from my normal school logins. There is also a large variety of programs that we use in this course (Piazza, MyMathLab, Canvas, Gradescope, Teams, Outlook, etc.) and it is hard to keep track of them all. Since this class is remote, in-person communication does not overtake all of these apps in terms of distribution of information, so sometimes it takes serious effort to find the information I need at times.",TC,Nothing specific.,NC
I don't think I have any concerns that you could address.,NC,This course has had some tough concepts so far.,AC
N/A,NC,N/A,NC
My webcam sometimes glitches out which can cause testing software to remove me from tests.,TC,I feel like I'm understanding the math but not the concepts.,AC
I do not have much concerns regarding this class.,NC,n/a,NC
i am concerned about understanding the concept,AC,i like the course but i fill like i am not getting enough material to fully understand the concepts,AC
None,NC,No,NC
"I am concerned about not staying on top of the rhythm and content and somehow missing an assignment due date. However, I will try to maintain at least how I am doing right now.",AC,I like how the course is formatted and how all the videos are on one page. It makes the information organized and lets me know where to go for which information.,NC
"Despite taking notes, I feel with online work I may not remember everything, unless it is something we continuously use throughout the course.",AC,"Once navigating through Canvas, I find it easier to find the things I'm looking for specifically.",NC
Missing deadlines.,AC,none,NC
none,NC,"Looks pretty rigorous, but I will stay on top of it.",NC
Not being able to get a teacher's help immediately for any questions.,AC,"I'm not a big fan of the studio session format of this class, so it's a little harder for me to concentrate when I view the sessions as regardless of me making sure there's nothing to distract me, I tend to lose connection to the material.",AC
"THere are many sources to learn material. If I rely on one source (ex. the topic videos), will it cover all the necessary content.",AC,Nope,NC
N/A,NC,N/A,NC
I don't have any concerns.,NC,"No, I'm enjoying the course and having no major difficulties.",NC
I do not have any concerns about taking this class remotely other than the possibility of having technical difficulties at home.,TC,"I enjoy watching the module videos that are posted on Canvas, and I try to be active in the morning lectures on Monday and Wednesday mornings, although sometimes it is hard to type comments in the chat.",NC
"I don't have many concerns, I am only interested to see how different the proctored exams will be compared to the virtual exams.",NC,I don't think there is really anything.,NC
N/A,NC,N/A,NC
procrastination :),PC,N/A,NC
I am concerned that I will struggle to pace myself or structure the class well.,PC,Nope!,NC
"The detachment from a rudimentary in person schedule is one thing, but that's more just college in general instead of this specific class. Also the inability to ask questions for clarification on the final exam but I am assuming that is a college thing too. Besides that none really; Communication seems super simple and responsive and any resource that I need is there ready for whenever I so choose.",NC,Again so far everything has been clearly lade out of what is expected so I se no issues in that department.,NC
"There are no major concerns in taking this class remotely. There is only slight issues that I may face learning remotely, such as problems regarding concentration and paying attention to the material. While this is not an issue, this could pose a problem in the future.",PC,"The course so far is well organized and I have, so far, many resources to help me succeed in the course.",NC
"My concern is that if I am unable to understand a certain concept, there is no way to easily have it explained since the textbook requires a certain level of knowledge to understand it.",AC,"This course has so far been difficult to understand conceptually since I have not made the link between the numbers and the physical representations of the data. Once this is reached, I hope that I will start to enjoy the course more, and find it less difficult.",AC
None,NC,None,NC
"Dense information on a screen makes me zone out. If the topics have sudden jumps, I don't understand.",AC,"The lectures last until 9:15, but the class at my high school dismisses at 8:51. The scheduling is not ideal.",PC
"I think that the remote learning aspect of this math course deprives me of the ability to absorb additional information. By learning by myself, I don't think I can reach my full potential compared to learning in an in-person class.",PC,"There's not really much in terms of individual needs, but I have been enjoying the conceptual focus of the course so far. It's a completely different perspective on math compared to what has been emphasized before.",NC
None,NC,None,NC
the content is confusing at times,AC,no :),NC
One concern I have about taking this class is being responsible for my work and keeping up with my tasks.,AC,I am looking forward to learning more.,NC
My concern about taking this class remotely is that I risk falling behind due to the self-paced nature of the course.,AC,"So far, my impressions of the course is that it is very fast paced and requires strong time management skills from the students.",AC
I have no concerns at the moment.,NC,"So far, the course has been going smoothly for me. The videos, lectures, and textbook all help me understand the concept better and better.",NC
I am worried that I will not understand and learn the material as well as I might with an in-person class.,AC,"No, there is nothing else I currently have questions or problems with. So far, the course has been interesting as it is far different than anything I have ever done before.",NC
My only concerns are about my own time management and work ethic.,PC,I find it a bit odd that the homework is due after the quizzes but otherwise everything is going fine.,AC
"I have taken classes remotely before, so there are no new concerns. The only downside is I feel like I learn better in person, but the live sessions help make it easier.",AC,NA,NC
"One tiny concern would be communication. At times, it feels confusing to know who to reach out to.",PC,Nothing in particular!,NC
None,NC,None,NC
N/A,NC,N/A,NC
"Nothing really, but there's a small concern that I'll have trouble reaching out for help at times. Due to technical difficulties, late time, etc.",TC,Dual Enrolling for Georgia Tech has been great so far and the lectures as well as the studio sessions are very helpful.,NC
,NC,"I'm a little confused on the structure of test questions. I do marching band so my schedule does not allow for me to be able to attend the Microsoft lecture meetings currently, but I looked through the recordings on the media gallery, and the questions that you do in those are different types of questions than what's on our quizzes and homework. Will test questions be more similar to the problems you do on the Microsoft lectures or more similar to our quiz/homework problems?",AC
I worry that I might struggle to maintain a good schedule for my learning and assignments.,PC,No,NC
"Simply managing my time correctly and the correct way to study. I've been using the textbook most of the time to study with the problems, but I've been taking a lot of time in my day to doing this. The videos also help, but mostly it is managing my time and having a structured guideline to succeeding in this class.",PC,"The course seems pretty straightforward, but I learn best when a multitude of problems are presented and I can practice my skills with them.",NC
N/A,NC,N/A,NC
I'm afraid that if I don't understand content that it will be much more difficult to find help to solve the issue.,AC,none.,NC
"My biggest concern is overcoming obstacles in my understanding of the content. I do have my classmates at my disposal, as well as a plethora of content here, but I still somewhat of a concern.",PC,"I have found this course difficult, as the content is still ""clicking"" for me. However, the lecture videos coupled with the reading have been supportive in learning the material. As for my individual needs, I think they will be met by the variety of content available to support my learning.",AC
I am afraid that I will not be able to understand explanations and ask questions effectively since I cannot be there in person.,PC,N/A,NC
"Although a low possibility, I am most concerned about the technical issues such as bad weather that disrupts the internet, the problem in the Canva service itself, etc.",TC,"Not at the moment, but I will post on Piazza regarding my concerns",NC
none,NC,no,NC
"I sometimes have felt I have not been grasping the information as readily, though I think I can review the information to better engrain it in my memory.",PC,No.,NC
I am concerned the lack of in person teaching will affect my ability to fluently learn. I usually like to learn math in a face to face environment where I can ask questions as I progress through the material.,PC,"I think that the videos are a little hard to understand out of context but using all the resources available, I believe I can learn the material successfully.",AC
"Concern I have taking this class is accurately learning the information without my misunderstanding. I feel like it is harder to learn online because it is self studying with only lectures, but the homework and quizzes do a good job of making sure I learned the material well.",PC,"Our school provides no service and our Chromebooks they offer sometimes doesn't work, so I usually do my works at home.",TC
"I mostly worry about my ability to do my work at school and about my own time management because the class is so self-paced. It is also a bit difficult to communicate with instructors and convey my ideas, but I can always ask my peers.",TC,I quite like the format of the course because it's really easy to follow.,NC
Not being able to learn the material correctly and missing deadlines.,AC,N/A,NC
"Not much, I believe more of the success and understanding is dependent on the student's learning outside lectures and homework.",PC,"No, I believe the course has been very structured so far and all assignments and due dates have been clear.",NC
"I personally struggle with digital learning, and I am not fully comfortable with lectures that have constant videos and fast pace without in person interactions with a professor .",PC,none.,NC
"I fear that learning it remotely will not allow me to understand and learn the content fully. Additionally, not having any in-person support may be difficult.",PC,"The course seems very rigorous, but so far, the concepts have not been difficult to understand.",NC
Being able to effectively teach myself and retain the information I learn. I also worry about the time I will be able to have once swim season starts and I have practice 2-3 times a week.,AC,no,NC
n/a,NC,I enjoy the presentation of the video modules a lot.,NC
"I'm worried about not fully understanding the material, and eventually not being able to catch up. I've noticed from just the first two weeks the amount of content covered each week, and it is certainly more than I expected and more difficult than I expected. Hence my concerns.",AC,"Nothing in particular, thank you.",NC
"Today my home actually had a wifi outtage (surprising I know), but it put me in a situation where I had to wait until it was back up to start working. Had it been later, I would've had to either take the penalty or email you and either be met with a sympathetic or pretty flat response. Apart from tech issues, none",TC,Excited!,NC
"One concern I have about taking this class remotely is that in the past, I have not taken many online courses but rather in-person ones, so I feel that I may struggle a little in a different environment.",PC,I think the course so far has been great and I have no individual needs regarding it.,NC
N/A,NC,N/A,NC
The 30% final.,AC,Nothing comes to mind.,NC
"I was initially concerned about learning math through instructional videos, as opposed to in person teaching.",AC,N/A,NC
"My biggest concern is keeping up with the work and understanding the material; however, this is more of a concern for myself rather than for the class. The class is setup in a very user friendly format with everything clearly laid out!",PC,Nothing so far!,NC
"I find it easier to learn in a classroom setting, so since the lecture videos do not go as in-depth as the textbook, I feel I miss a deeper understanding of the content as I am missing the audio component.",AC,"I like the course so far, but I wish there were more homework problems on MyMathLab, or in some other form.",AC
"I do not have any concerns, I thrive in an asynchronous setting.",NC,I am very excited to learn more about this math and how it can be applied!,NC
I'm not learning as well as I would in person.,PC,None,NC
"I have concerns about clarity in terms of asking questions and getting responses. I know Piazza is available and I can use the Teams chat during lectures and studios, but without face-to-face ask and response, it is easy for things to get lost or miscommunicated, which can lead to incorrect answers that have farther reaching consequences.",AC,"I have enjoyed the structure of the class. I thought a college class would be super dense and complex from a logistic standpoint, but in my first time using Canvas, I have found it very well organized and easy to understand. I find it a bit easy to get lost in all the theorems and concepts of the course, however once I see an example, it becomes easier to process.",NC
No concerns because I have taken dual enrollment classes online before.,NC,N/A,NC
I do not have any concerns about taking the class remotely.,NC,My impressions of the course thus far are overall positive. The only concern I do have is that there seems to be a bit of disparity between what is being taught in the videos and what is being asked on the homework and quizzes.,AC
It may be hard to attend the TA sessions.,PC,n/a,NC
"One major concern is that I will sometimes have questions, and I am scared that I will not be able to get them answered. I am aware of the office hours, but anything can happen to effect those opportunities.",AC,Nope the course is off to a great start!,NC
n/a,NC,n/a,NC
Maintaining the willpower to keep up with coursework during senior year especially as it gets busier.,PC,"My general impression of the course so far is that it will not be extraordinarily difficult if I follow along and do my work, although it is only the beginning so only time will tell if that impression holds. I'm also a fan of the workload, as it is fairly light but remains very useful for checking understanding.",NC
I currently don't have any concerns.,NC,Not at the moment,NC
I have no concerns,NC,No,NC
I do not have any concerns as of right now about taking this class remotely.,NC,There is nothing else regarding my individual needs or impressions of the course so far.,NC
I'm concerned that I might not remember a lot of the material next year.,PC,No individual needs.,NC
patience,PC,a bit hard to pace myself and remember all the terms,AC
I do not have any concerns at the moment.,NC,I like that the course is very organized on this platform and that we use user-friendly software.,NC
"Having an actual understanding of the concepts rather than just how to do problems, possible technical difficulties",TC,"Course seems fine, hard but doable.",NC
"Possibly not taking in the content as well if I had a teacher explain everything. I have resorted to learning parts of math courses from videos if I had been sick. However, the entirety of this Dual Enrollment year 1 math will be as if I were sick, learning almost by myself and some of the content may not be fully absorbed.",PC,I don't have any individual need but as for first impressions I can already tell that this course will be quite a challenge even compared to AP courses.,NC
I have concerns about any technological issues that might happen in the future.,TC,I like how easily digestible the material is and how MML gives examples for each question.,NC
"As of right now, I do not have any concerns about taking this class remotely.",NC,"Nope, so far everything's been good!",NC
No concerns,NC,No,NC
I just hope that I can ask any questions that I have and get an accurate response within a reasonable timeframe.,TC,"The course is very different from the standard course at my base high school, so it definitely takes some getting used to for the mostly self-taught style of classes, but I can surely adjust to it. Otherwise, this course is very engaging.",AC
"None really, I just need to make sure I focus on when and where the in-person assessments are.",NC,"No I should be fine, thanks for being my professor.",NC
None,NC,"I like the layout of canvas (never used it before) and how this class works, allowing me to work ahead and be a part of a group.",NC
None,NC,No,NC
Whether I will be able to remember the materials as well as if it was an in person class.,PC,"Not really, I find the course pretty easy and enjoyable to follow at the moment.",NC
I was a little worried about not be able to learn the information as well as I would in an in person class.,PC,There isn't anything that I can think of regarding my individual needs or the course.,NC
"Nothing so far. The most confusing thing to me so far is the portal and how to navigate it, but I'm slowly getting used to it.",TC,I don't have anything that is particularly worth mentioning. I just hope we have a successful year!,NC
"I don't have any particular worries, I just need to make sure I complete all the work on time.",PC,"I think the course will be interesting. I do like how helpful everyone is on Piazza, and the textbook/its practice problems are certainly helpful.",NC
One of my main concerns is not able to keep up with all the deadlines and assignments since we use so many platforms.,AC,I learn best with multiple examples.,AC
"I am concerned that I will get behind and have a harder time asking questions (however office hours and Piazza have been great so far!). My school is also allowing me to take the course from home, so I am also worried about setting aside enough time for the class so I can master all of the information we learn.",AC,I am really enjoying utilizing your videos and the textbook to learn! I am mainly concerned about giving myself enough time to complete everything to the best of my abilities and how that will transfer to our proctored exams.,PC
N/A,NC,N/A,NC
Being able to keep up with doing things with no one here to remind me. Internet issues also.,TC,,NC
"I did have concerns regarding how to discuss problems and concepts I did not understand, but they were resolved when I saw that Piazza was a discussion board that the instructors respond to frequently.",NC,My impression of the course has been so far good!,NC
"I tend to learn better in a face-to-face environment, but going to office hours should help with this.",TC,"No thank you, the course seems challenging but fun.",NC
n/a,NC,n/a,NC
"The math is not hard, but understanding the different terms used, the connections between the terms, and knowing how to approach a conceptual problem is proving to be hard for me so far.",AC,Nope.,NC
Not being able to completely grasp the material on my own as well as falling behind,AC,N/a,NC
"I don't want to fall behind, especially in this course. Nothing on your part, but I've been treating the class like its Algebra II, which I did not have to put in any work. But even though this class is already challenging, I don't want to get to Exam day and fail the Exam miserably. Because it's online, it is easy to not do the required amount of work each day, but I want to succeed. Like I said, nothing on your part, but I want to pass this class, preferably with an A, as I have in every other class that I've taken.",PC,"Its a cool course so far honestly, but unfortunately, with my Extracurricular's, getting to watch the Studios is not a possibility for me most days. I watch the Media one's, but I'd like to be there in person every so often.",PC
None,NC,No,NC
I have no concerns. I have taken video lecture classes before and feel comfortable that I can keep up with the work.,NC,"Everything seems straightforward so far. I think I will enjoy this class, especially since I think I can self-regulate my study and know when I need more practice.",NC
I feel unprepared for the module test.,PC,"This class is really cool, but hard at the same time.",NC
n/a,NC,n/a,NC
I have a concern that I may be learning everything in chunks instead of continuously which may hurt my development,AC,I think all of my needs have been met so far,NC
I have no concerns. I am excited to explore higher level math concepts!,NC,"No! I am feeling challenged by this course, but I am getting through it.",NC
"One of the concerns would probably be just not having the actual face to face interaction, but the Piazza and the recorded lectures do a good job at helping.",AC,Nothing else.,NC
None,NC,Pretty interesting concepts so far.,NC
"I don't have any concerns, or at least any that have revealed themselves.",NC,I am very pleased with the course so far.,NC
As of now I have not developd any concerns.,NC,My initial impression of the course is that it seems well structured and easy to follow being all online.,NC
I don't have any concerns that have shown themselves to be relevant.,NC,the couse seems interesting and I can't wait to partake in more of it.,NC
My only concern is that I will struggle to grasp the concepts in the course.,AC,n/a,NC
